Rk,Player,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,All Star and/or HOF (played prior to 1933 when AS Game was created)
290,Hugh Duffy,1894,27,BSN,NL,125,616,539,160,237,51,16,18,145,66,,15,1,10,,,48,,0.44,0.502,0.694,1.196,*8/76,1
291,Gavvy Cravath,1913,32,PHI,NL,147,594,525,78,179,34,14,19,128,55,,63,3,11,,,10,11,0.341,0.407,0.568,0.974,*9/H87,0
292,Hardy Richardson,1886,31,DTN,NL,125,584,538,125,189,27,11,11,61,46,,27,,,,,42,,0.351,0.402,0.504,0.906,74/165,0
293,Nelson Cruz,2020,39,MIN,AL,53,214,185,33,56,6,0,16,33,25,5,58,4,0,0,8,0,0,0.303,0.397,0.595,0.992,*D/H,1
294,Victor Martinez,2014,35,DET,AL,151,641,561,87,188,33,0,32,103,70,28,42,4,0,6,17,3,2,0.335,0.409,0.565,0.974,*D3/2H,1
295,Matt Kemp,2011,26,LAD,NL,161,689,602,115,195,33,4,39,126,74,24,159,6,0,7,16,40,11,0.324,0.399,0.586,0.986,*8/DH,1
296,Carlos Pena,2007,29,TBD,AL,148,612,490,99,138,29,1,46,121,103,10,142,10,1,8,7,1,0,0.282,0.411,0.627,1.037,*3/DH,1
297,Jason Giambi,2002,31,NYY,AL,155,689,560,120,176,34,1,41,122,109,4,112,15,0,5,18,2,2,0.314,0.435,0.598,1.034,3D,1
298,Albert Belle,1998,31,CHW,AL,163,706,609,113,200,48,2,49,152,81,10,84,1,0,15,17,6,4,0.328,0.399,0.655,1.055,*7/D,1
299,Mike Piazza,1995,26,LAD,NL,112,475,434,82,150,17,0,32,93,39,10,80,1,0,1,10,1,0,0.346,0.4,0.606,1.006,*2/H,1
300,Reggie Jackson,1980,34,NYY,AL,143,601,514,94,154,22,4,41,111,83,15,122,2,0,2,7,1,2,0.3,0.398,0.597,0.995,9D/H,1
301,Billy Williams,1972,34,CHC,NL,150,650,574,95,191,34,6,37,122,62,20,59,6,0,8,14,3,1,0.333,0.399,0.606,1.005,*7/3H,1
302,Willie Mays,1964,33,SFG,NL,157,665,578,121,171,21,9,47,111,82,13,72,1,1,3,11,19,5,0.296,0.383,0.607,0.99,*8/H635,1
303,Stan Musial,1957,36,STL,NL,134,579,502,82,176,38,3,29,102,66,19,34,2,1,8,13,1,1,0.351,0.422,0.612,1.034,*3/H,1
304,Ted Williams,1956,37,BOS,AL,136,503,400,71,138,28,2,24,82,102,11,39,1,0,0,13,0,0,0.345,0.479,0.605,1.084,*7H,1
305,Eddie Mathews,1954,22,MLN,NL,138,601,476,96,138,21,4,40,103,113,16,61,2,3,7,9,10,3,0.29,0.423,0.603,1.026,*57/H,1
306,Dixie Walker,1944,33,BRO,NL,147,611,535,77,191,37,8,13,91,72,16,27,1,3,,6,6,2,0.357,0.434,0.529,0.963,*97/H,1
